country,count_score,count_rank,median_score,median_rank,mean_score,mean_rank
AE,3,8,35.1,627.5,35.766666666666666,532.75
AR,5,13,29,684,35.9,622.6923076923077
AT,5,8,36.2,320,39.2,390.375
AU,26,36,40.5,307,46.08076923076923,369.25
BD,0,2,NA,889.5,NaN,889.5
BE,8,9,40.55,239,41.175,300.77777777777777
BG,0,1,NA,629,NaN,629
BH,0,2,NA,806,NaN,806
BN,2,2,34.15,304,34.15,304
BR,5,14,28.8,713.5,34.82,663
BY,1,2,33,569,33,569
CA,17,26,37.8,347.5,45.35294117647059,390.2692307692308
CH,9,10,54.9,132,58.044444444444444,197.4
CL,2,10,49.7,802.5,49.7,670.6
CN,26,51,33.1,496,41.61923076923077,493.96078431372547
CO,3,11,36.9,683,34.43333333333334,630.9090909090909
CR,0,3,NA,898,NaN,798.3333333333334
CU,1,2,24.1,518,24.1,518
CY,1,1,24.8,480,24.8,480
CZ,3,10,31.5,651,31.533333333333335,618.6
DE,30,45,35.6,357,40.35,410.77777777777777
DK,5,5,51,147,47.84,197.2
EC,0,3,NA,834,NaN,831
EE,1,3,35,679,35,619.3333333333334
EG,1,4,27.5,684,27.5,646.25
ES,12,26,34.099999999999994,507,35.275,527.5384615384615
FI,8,9,29.7,408,35.25,358.1111111111111
FR,14,28,36.8,471,43.464285714285715,495.2142857142857
GB,49,84,45.9,374.5,50.587755102040816,444.4761904761905
GE,0,1,NA,617,NaN,617
GR,1,6,24.8,733.5,24.8,715.3333333333334
HK,6,7,75.05,48,69.66666666666666,150.57142857142858
HR,0,2,NA,986.5,NaN,986.5
HU,0,8,NA,761,NaN,733.5
ID,3,8,34,526.5,34.9,549.625
IE,5,8,38.3,362.5,40.66,422.5
IL,4,6,36.95,369.5,36.35,408
IN,8,21,34.35,663,36.025,567.047619047619
IQ,0,2,NA,961.5,NaN,961.5
IR,2,5,26.200000000000003,601,26.200000000000003,598.2
IT,11,36,33.5,689.5,35.89090909090909,643.2777777777778
JO,0,4,NA,751,NaN,756.25
JP,16,41,48.150000000000006,564,49.325,527.0975609756098
KR,15,29,38.8,491,46.739999999999995,440.82758620689657
KW,0,2,NA,846.5,NaN,846.5
KZ,3,10,30.2,607,33.83333333333333,600
LB,1,8,40.4,584,40.4,588.625
LT,1,4,27,774,27,742
LV,0,3,NA,880,NaN,859
MO,1,2,29.9,543,29.9,543
MT,0,1,NA,974,NaN,974
MX,2,12,54.349999999999994,724.5,54.349999999999994,673.9166666666666
MY,8,20,48.05,587,44.2875,562.05
NL,13,13,53.4,130,49.56153846153846,168.46153846153845
NO,4,4,36.75,278,38.975,272
NZ,8,8,35.849999999999994,271,38.1125,278.875
OM,1,1,29.1,375,29.1,375
PA,0,1,NA,926,NaN,926
PE,1,3,26.4,737,26.4,697.6666666666666
PH,1,4,28.2,717,28.2,704
PK,3,7,29.2,666,28.4,661.2857142857143
PL,2,15,32.099999999999994,858,32.099999999999994,790.2666666666667
PT,4,7,28.4,431,28.375,528
QA,1,1,37.9,245,37.9,245
RO,0,2,NA,886.5,NaN,886.5
RU,17,28,31.9,401.5,34.241176470588236,477.4642857142857
SA,4,10,39.75,571.5,39.05,558.1
SE,8,8,48.85,160,46.9375,193
SG,2,3,90.7,13,90.7,179.33333333333334
SI,0,2,NA,811.5,NaN,811.5
SK,0,4,NA,800,NaN,792
TH,2,8,39.55,726,39.55,632
TR,1,9,25.2,658,25.2,676
TW,12,16,33.1,403,35.24166666666667,415.8125
UA,1,6,24.8,697,24.8,683.6666666666666
US,86,151,45.95,426,50.7953488372093,435.3245033112583
UY,2,4,24.8,700,24.8,693.5
VE,0,4,NA,910,NaN,882
VN,0,2,NA,994.5,NaN,994.5
ZA,4,7,26.95,459,29.924999999999997,564
