nid,url,title,logo,core_id,score,rank_display,country,region,stars,guide
294850,/universities/massachusetts-institute-technology-mit,Massachusetts Institute of Technology (MIT),"<img src=""https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small_0.jpg"" alt=""Massachusetts Institute of Technology (MIT) Logo"">",410,100,1,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>"
297282,/universities/stanford-university,Stanford University,"<img src=""https://www.topuniversities.com/sites/default/files/stanford-university_573_small_0.jpg"" alt=""Stanford University Logo"">",573,98.4,2,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>"
294270,/universities/harvard-university,Harvard University,"<img src=""https://www.topuniversities.com/sites/default/files/harvard-university_253_small_0.jpg"" alt=""Harvard University Logo"">",253,97.9,3,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>"
294562,/universities/california-institute-technology-caltech,California Institute of Technology (Caltech),"<img src=""https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small_1.jpg"" alt=""California Institute of Technology (Caltech) Logo"">",94,97,4,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>"
294654,/universities/university-oxford,University of Oxford,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small_0.jpg"" alt=""University of Oxford Logo"">",478,96.7,5,United Kingdom,Europe,,"<a href=""/where-to-study/europe/united-kingdom/guide"" class=""guide-link"" target=""_blank"">United Kingdom</a>"
294432,/universities/eth-zurich-swiss-federal-institute-technology,ETH Zurich - Swiss Federal Institute of Technology,"<img src=""https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small_0.jpg"" alt=""ETH Zurich - Swiss Federal Institute of Technology Logo"">",201,95,6,Switzerland,Europe,NA,"<a href=""/where-to-study/europe/switzerland/guide"" class=""guide-link"" target=""_blank"">Switzerland</a>"
294561,/universities/university-cambridge,University of Cambridge,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small_1.jpg"" alt=""University of Cambridge Logo"">",95,94.3,7,United Kingdom,Europe,,"<a href=""/where-to-study/europe/united-kingdom/guide"" class=""guide-link"" target=""_blank"">United Kingdom</a>"
294030,/universities/imperial-college-london,Imperial College London,"<img src=""https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small_2.jpg"" alt=""Imperial College London Logo"">",356,93.6,8,United Kingdom,Europe,NA,"<a href=""/where-to-study/europe/united-kingdom/guide"" class=""guide-link"" target=""_blank"">United Kingdom</a>"
294536,/universities/university-chicago,University of Chicago,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small_0.jpg"" alt=""University of Chicago Logo"">",120,93.1,9,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>"
294014,/universities/ucl,UCL,"<img src=""https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small_7.jpg"" alt=""UCL Logo"">",365,92.9,10,United Kingdom,Europe,NA,"<a href=""/where-to-study/europe/united-kingdom/guide"" class=""guide-link"" target=""_blank"">United Kingdom</a>"
294798,/universities/national-university-singapore-nus,National University of Singapore (NUS),"<img src=""https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small_0.jpg"" alt=""National University of Singapore (NUS) Logo"">",443,91.5,11,Singapore,Asia,NA,
297490,/universities/princeton-university,Princeton University,"<img src=""https://www.topuniversities.com/sites/default/files/princeton-university_508_small_0.jpg"" alt=""Princeton University Logo"">",508,91,12,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>"
294821,/universities/nanyang-technological-university-singapore-ntu,"Nanyang Technological University, Singapore (NTU)","<img src=""https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small_0.jpg"" alt=""Nanyang Technological University, Singapore (NTU) Logo"">",431,89.9,13,Singapore,Asia,,
294481,/universities/epfl,EPFL,"<img src=""https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg"" alt=""EPFL Logo"">",177,89.6,14,Switzerland,Europe,NA,"<a href=""/where-to-study/europe/switzerland/guide"" class=""guide-link"" target=""_blank"">Switzerland</a>"
297235,/universities/tsinghua-university,Tsinghua University,"<img src=""https://www.topuniversities.com/sites/default/files/tsinghua-university_626_small_1.jpg"" alt=""Tsinghua University Logo"">",626,89.2,15,China (Mainland),Asia,,"<a href=""/where-to-study/asia/china/guide"" class=""guide-link"" target=""_blank"">China (Mainland)</a>"
297569,/universities/university-pennsylvania,University of Pennsylvania,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg"" alt=""University of Pennsylvania Logo"">",495,88.6,16,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>"
297177,/universities/yale-university,Yale University,"<img src=""https://www.topuniversities.com/sites/default/files/yale-university_684_small_1.jpg"" alt=""Yale University Logo"">",684,88,17,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>"
294514,/universities/cornell-university,Cornell University,"<img src=""https://www.topuniversities.com/sites/default/files/cornell-university_143_small_0.jpg"" alt=""Cornell University Logo"">",143,87.6,18,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>"
