Country;Top100;Top200;Top500;Top1000;Top5000;Top10000;TOTAL
USA;66;91;154;264;1345;2671;3301
Canada;7;11;23;32;92;187;331
United Kingdom;4;12;32;62;138;208;299
Germany;3;19;43;60;167;289;415
China;3;7;35;106;766;1080;1169
Japan;2;4;11;30;244;614;1004
Switzerland;2;4;8;10;24;54;103
Spain;1;7;26;45;77;110;236
Netherlands;1;7;11;12;28;55;145
Australia;1;6;12;26;43;59;101
Italy;1;2;17;36;73;114;237
South Korea;1;2;11;21;103;212;389
Taiwan;1;2;8;32;114;157;159
Belgium;1;2;7;7;20;47;89
Hong Kong;1;2;5;6;12;15;24
Brazil;1;1;10;25;143;318;1648
Austria;1;1;5;10;30;58;76
Czech Republic;1;1;3;8;24;45;82
Singapore;1;1;2;2;7;21;49
Mexico;1;1;1;6;52;102;907
Sweden;0;5;10;11;29;38;49
Denmark;0;3;5;6;11;32;83
Norway;0;3;4;4;27;44;63
Israel;0;2;6;7;16;33;35
Portugal;0;1;5;6;30;56;109
Finland;0;1;4;9;22;45;48
Slovenia;0;1;2;2;4;7;39
Russia;0;1;1;8;148;430;1197
France;0;0;7;26;156;283;588
Thailand;0;0;7;13;78;130;188
Poland;0;0;5;12;72;203;438
Greece;0;0;3;9;28;46;79
Hungary;0;0;3;7;19;45;75
Ireland;0;0;3;6;16;28;49
New Zealand;0;0;2;6;10;22;48
South Africa;0;0;1;6;17;22;135
Chile;0;0;1;4;34;54;79
Colombia;0;0;1;3;39;89;298
Argentina;0;0;1;3;34;79;115
Saudi Arabia;0;0;1;3;16;33;58
Estonia;0;0;1;2;5;14;35
Egypt;0;0;1;1;19;28;59
Croatia;0;0;1;1;5;14;58
Iceland;0;0;1;1;3;7;8
Turkey;0;0;0;10;74;135;165
Malaysia;0;0;0;6;26;51;92
Iran;0;0;0;5;63;138;609
India;0;0;0;4;90;289;1638
Indonesia;0;0;0;3;60;137;410
Romania;0;0;0;3;23;54;112
Slovakia;0;0;0;2;14;25;33
Ukraine;0;0;0;1;30;100;313
Peru;0;0;0;1;14;43;94
Lithuania;0;0;0;1;9;22;46
Bulgaria;0;0;0;1;8;35;56
Belarus;0;0;0;1;7;33;60
Puerto Rico;0;0;0;1;6;17;38
Latvia;0;0;0;1;5;19;58
Macao;0;0;0;1;5;7;11
Costa Rica;0;0;0;1;4;13;64
Serbia;0;0;0;1;4;9;48
Cyprus;0;0;0;1;4;9;17
Viet Nam;0;0;0;0;26;74;121
Ecuador;0;0;0;0;15;32;62
Pakistan;0;0;0;0;11;44;301
Venezuela;0;0;0;0;10;23;70
Nigeria;0;0;0;0;8;23;137
Philippines;0;0;0;0;7;33;277
Algeria;0;0;0;0;7;28;84
Morocco;0;0;0;0;7;18;214
Uruguay;0;0;0;0;6;19;35
United Arab Emirates;0;0;0;0;6;15;50
Jordan;0;0;0;0;6;13;33
Sri Lanka;0;0;0;0;6;8;30
Palestine;0;0;0;0;5;12;17
Kenya;0;0;0;0;5;10;65
Lebanon;0;0;0;0;5;10;41
Kazakhstan;0;0;0;0;4;34;116
Bosnia and Herzegovina;0;0;0;0;3;10;74
Georgia;0;0;0;0;3;9;64
Bolivia;0;0;0;0;3;9;46
Cuba;0;0;0;0;3;9;33
Guatemala;0;0;0;0;3;7;20
Ghana;0;0;0;0;3;6;51
Nicaragua;0;0;0;0;3;5;43
Bangladesh;0;0;0;0;2;17;108
Iraq;0;0;0;0;2;12;57
Dominican Republic;0;0;0;0;2;10;32
El Salvador;0;0;0;0;2;9;38
Paraguay;0;0;0;0;2;6;43
Moldova;0;0;0;0;2;5;26
Kuwait;0;0;0;0;2;5;11
North Cyprus;0;0;0;0;2;5;6
Sudan;0;0;0;0;2;4;41
Jamaica;0;0;0;0;2;4;25
Panama;0;0;0;0;2;3;29
Qatar;0;0;0;0;2;3;6
Namibia;0;0;0;0;2;2;4
